,API/UWI,qi,b,di,r2
0,42461392240000,1281.71105595,1.53394804899,-0.00904367786516,0.972446101491
1,42461398770000,1872.82616951,1.73584065966,-0.00671651788912,0.91713148138
2,42461399010000,2097.96418893,1.63845949813,-0.00678092951448,0.927253140007
3,42461400140000,4465.1667789,1.63072067511,-0.0199560676826,0.993276142356
4,42461400150000,3371.54701237,1.68257339024,-0.0194148243798,0.99215345761
5,42461400160000,2562.56708368,1.0,-0.0451311886203,0.97349777846
6,42461400170000,2135.0720125,1.14581958479,-0.0265481428899,0.996104431863
7,42461401650000,1170.43017873,1.00700277149,-0.00302512660077,0.93630049162
8,42461401660000,1324.54904137,2.48302679725,-0.0188524194752,0.958343153481
9,42461401930000,945.632381889,1.0,-0.00290579674718,0.984891451483
10,42461402080000,1200.88541122,1.49866333721,-0.00480340067084,0.964816032815
11,42461402390000,1374.83364656,1.09647635184,-0.00745561160411,0.966262906711
12,42461402440000,1123.24819023,2.68005231099,-0.00781657812587,0.829951487037
13,42461402460000,1072.20481,4.0,-0.0124739587768,0.837910375086
14,42461402470000,1127.27708485,3.95038185708,-0.0166492290651,0.861489159822
